"id","datetime","store","weekday","sales","products_sold","clientes_that_bought","half_hour","year","month","dia"
229,2020-03-27 10:00:00,274,friday,780,168,11,20,2020,3,27
230,2020-03-27 10:30:00,274,friday,1508,322,22,21,2020,3,27
231,2020-03-27 11:00:00,274,friday,1605,376,28,22,2020,3,27
232,2020-03-27 11:30:00,274,friday,653,113,13,23,2020,3,27
233,2020-03-27 12:00:00,274,friday,1752,351,25,24,2020,3,27
234,2020-03-27 12:30:00,274,friday,1741,366,26,25,2020,3,27
235,2020-03-27 13:00:00,274,friday,1321,333,19,26,2020,3,27
236,2020-03-27 13:30:00,274,friday,1161,262,25,27,2020,3,27
237,2020-03-27 14:00:00,274,friday,923,241,19,28,2020,3,27
238,2020-03-27 14:30:00,274,friday,883,226,20,29,2020,3,27
239,2020-03-27 15:00:00,274,friday,920,237,22,30,2020,3,27
240,2020-03-27 15:30:00,274,friday,1134,236,19,31,2020,3,27
241,2020-03-27 16:00:00,274,friday,1190,304,25,32,2020,3,27
242,2020-03-27 16:30:00,274,friday,2425,553,23,33,2020,3,27
243,2020-03-27 17:00:00,274,friday,2274,478,27,34,2020,3,27
244,2020-03-27 17:30:00,274,friday,3135,605,32,35,2020,3,27
245,2020-03-27 18:00:00,274,friday,1935,417,25,36,2020,3,27
246,2020-03-27 18:30:00,274,friday,1390,301,22,37,2020,3,27
247,2020-03-27 19:00:00,274,friday,2399,501,24,38,2020,3,27
248,2020-03-27 19:30:00,274,friday,881,171,14,39,2020,3,27
249,2020-03-27 20:00:00,274,friday,1647,300,18,40,2020,3,27
250,2020-03-27 20:30:00,274,friday,216,37,8,41,2020,3,27
251,2020-03-28 08:30:00,274,saturday,1456,278,14,17,2020,3,28
252,2020-03-28 09:00:00,274,saturday,448,83,7,18,2020,3,28
253,2020-03-28 09:30:00,274,saturday,2055,445,20,19,2020,3,28
254,2020-03-28 10:00:00,274,saturday,829,160,18,20,2020,3,28
255,2020-03-28 10:30:00,274,saturday,1199,313,22,21,2020,3,28
256,2020-03-28 11:00:00,274,saturday,1460,307,23,22,2020,3,28
257,2020-03-28 11:30:00,274,saturday,1299,301,17,23,2020,3,28
258,2020-03-28 12:00:00,274,saturday,2485,550,30,24,2020,3,28
259,2020-03-28 12:30:00,274,saturday,2418,576,37,25,2020,3,28
260,2020-03-28 13:00:00,274,saturday,2440,533,26,26,2020,3,28
261,2020-03-28 13:30:00,274,saturday,1962,362,26,27,2020,3,28
262,2020-03-28 14:00:00,274,saturday,2408,436,20,28,2020,3,28
263,2020-03-28 14:30:00,274,saturday,2193,563,29,29,2020,3,28
264,2020-03-28 15:00:00,274,saturday,2225,447,19,30,2020,3,28
265,2020-03-28 15:30:00,274,saturday,794,164,15,31,2020,3,28
266,2020-03-28 16:00:00,274,saturday,1073,262,20,32,2020,3,28
267,2020-03-28 16:30:00,274,saturday,1568,277,18,33,2020,3,28
268,2020-03-28 17:00:00,274,saturday,2036,382,25,34,2020,3,28
269,2020-03-28 17:30:00,274,saturday,2269,465,24,35,2020,3,28
270,2020-03-28 18:00:00,274,saturday,1307,260,14,36,2020,3,28
271,2020-03-28 18:30:00,274,saturday,1125,236,27,37,2020,3,28
272,2020-03-28 19:00:00,274,saturday,1322,247,14,38,2020,3,28
273,2020-03-28 19:30:00,274,saturday,1409,316,21,39,2020,3,28
274,2020-03-28 20:00:00,274,saturday,947,180,13,40,2020,3,28
275,2020-03-28 20:30:00,274,saturday,465,102,10,41,2020,3,28
276,2020-03-29 08:30:00,274,sunday,837,184,11,17,2020,3,29
277,2020-03-29 09:00:00,274,sunday,411,93,11,18,2020,3,29
278,2020-03-29 09:30:00,274,sunday,644,155,10,19,2020,3,29
279,2020-03-29 10:00:00,274,sunday,676,167,17,20,2020,3,29
280,2020-03-29 10:30:00,274,sunday,1347,287,14,21,2020,3,29
281,2020-03-29 11:00:00,274,sunday,1422,341,25,22,2020,3,29
282,2020-03-29 11:30:00,274,sunday,3730,781,35,23,2020,3,29
283,2020-03-29 12:00:00,274,sunday,1625,323,22,24,2020,3,29
284,2020-03-29 12:30:00,274,sunday,2521,503,25,25,2020,3,29
285,2020-03-29 13:00:00,274,sunday,1068,199,16,26,2020,3,29
286,2020-03-29 13:30:00,274,sunday,1436,283,20,27,2020,3,29
287,2020-03-29 14:00:00,274,sunday,1509,320,27,28,2020,3,29
288,2020-03-29 14:30:00,274,sunday,1170,289,21,29,2020,3,29
289,2020-03-29 15:00:00,274,sunday,871,209,14,30,2020,3,29
290,2020-03-29 15:30:00,274,sunday,690,131,9,31,2020,3,29
291,2020-03-29 16:00:00,274,sunday,36,5,3,32,2020,3,29
292,2020-03-29 16:30:00,274,sunday,304,77,10,33,2020,3,29
293,2020-03-29 17:00:00,274,sunday,489,101,8,34,2020,3,29
294,2020-03-29 17:30:00,274,sunday,996,180,12,35,2020,3,29
295,2020-03-29 18:00:00,274,sunday,437,108,13,36,2020,3,29
296,2020-03-29 18:30:00,274,sunday,597,185,7,37,2020,3,29
297,2020-03-29 19:00:00,274,sunday,302,66,8,38,2020,3,29
298,2020-03-29 19:30:00,274,sunday,36,11,4,39,2020,3,29
299,2020-03-29 20:00:00,274,sunday,344,122,6,40,2020,3,29
300,2020-03-29 20:30:00,274,sunday,46,12,4,41,2020,3,29
