,ds,y
29976,2015-01-14 13:15:00,11.0
237,2015-01-14 13:30:00,13.0
238,2015-01-14 13:45:00,10.0
239,2015-01-14 14:00:00,3.0
240,2015-01-14 14:15:00,3.0
29981,2015-01-14 14:30:00,13.0
241,2015-01-14 14:45:00,2.0
242,2015-01-14 15:00:00,4.0
29989,2015-01-15 10:00:00,12.0
29990,2015-01-15 10:15:00,7.0
29991,2015-01-15 10:30:00,9.0
29992,2015-01-15 10:45:00,12.0
29993,2015-01-15 11:00:00,9.0
29994,2015-01-15 11:15:00,14.0
243,2015-01-15 11:30:00,10.0
244,2015-01-15 11:45:00,7.0
245,2015-01-15 12:00:00,6.0
29998,2015-01-15 12:15:00,14.0
246,2015-01-15 12:30:00,12.0
247,2015-01-15 12:45:00,13.0
248,2015-01-15 13:00:00,8.0
249,2015-01-15 13:15:00,5.0
250,2015-01-15 13:30:00,3.0
251,2015-01-15 13:45:00,6.0
252,2015-01-15 14:00:00,7.0
253,2015-01-15 14:15:00,15.0
254,2015-01-15 14:30:00,13.0
255,2015-01-15 14:45:00,1.0
30007,2015-01-15 15:00:00,11.0
30008,2015-01-15 15:15:00,12.0
30009,2015-01-15 15:30:00,9.0
30010,2015-01-15 15:45:00,4.0
30011,2015-01-15 16:00:00,8.0
30012,2015-01-15 16:15:00,11.0
30013,2015-01-15 16:30:00,5.0
30014,2015-01-15 16:45:00,7.0
30015,2015-01-15 17:00:00,8.0
30016,2015-01-15 17:15:00,7.0
256,2015-01-15 17:30:00,5.0
257,2015-01-15 17:45:00,10.0
258,2015-01-15 18:00:00,14.0
259,2015-01-15 18:15:00,10.0
260,2015-01-15 18:30:00,10.0
261,2015-01-15 18:45:00,10.0
262,2015-01-15 19:00:00,14.0
263,2015-01-15 19:15:00,11.0
264,2015-01-15 19:30:00,20.0
265,2015-01-15 19:45:00,17.0
266,2015-01-15 20:00:00,9.0
267,2015-01-15 20:15:00,7.0
268,2015-01-15 20:30:00,14.0
269,2015-01-15 20:45:00,13.0
270,2015-01-15 21:00:00,13.0
271,2015-01-15 21:15:00,7.0
272,2015-01-15 21:30:00,2.0
29919,2015-01-15 22:00:00,6.0
29920,2015-01-15 23:00:00,3.0
30026,2015-01-16 10:00:00,7.0
30027,2015-01-16 10:15:00,3.0
30028,2015-01-16 10:30:00,12.0
30029,2015-01-16 10:45:00,10.0
30030,2015-01-16 11:00:00,11.0
273,2015-01-16 11:15:00,3.0
30032,2015-01-16 11:30:00,14.0
