datetime,store,weekday,sales,products_sold,clients_that_bought,year,month,day,halfhour
2020-05-09 10:30:00,290,Saturday,2125.25,581,16,2020,5,9,21
2020-05-09 11:00:00,290,Saturday,3489.8799,934,47,2020,5,9,22
2020-05-09 11:30:00,290,Saturday,2303.6499,637,19,2020,5,9,23
2020-05-09 12:00:00,290,Saturday,4123.7798,988,24,2020,5,9,24
2020-05-09 12:30:00,290,Saturday,1370.37,362,6,2020,5,9,25
2020-05-09 13:00:00,290,Saturday,18.690001000000002,12,10,2020,5,9,26
2020-05-09 13:30:00,290,Saturday,5.2800002,2,2,2020,5,9,27
2020-05-09 14:00:00,290,Saturday,1132.05,319,19,2020,5,9,28
2020-05-09 14:30:00,290,Saturday,1548.0601,359,34,2020,5,9,29
2020-05-09 15:00:00,290,Saturday,2544.1399,641,37,2020,5,9,30
2020-05-09 15:30:00,290,Saturday,3577.8,956,42,2020,5,9,31
2020-05-09 16:00:00,290,Saturday,3685.1899,887,47,2020,5,9,32
2020-05-09 16:30:00,290,Saturday,3184.1299,847,42,2020,5,9,33
2020-05-09 17:00:00,290,Saturday,3280.75,953,39,2020,5,9,34
2020-05-09 17:30:00,290,Saturday,3068.8899,698,42,2020,5,9,35
2020-05-09 18:00:00,290,Saturday,4050.52,1034,34,2020,5,9,36
2020-05-09 18:30:00,290,Saturday,1982.79,512,26,2020,5,9,37
2020-05-09 19:00:00,290,Saturday,1339.0699,402,33,2020,5,9,38
2020-05-09 19:30:00,290,Saturday,1233.38,350,23,2020,5,9,39
2020-05-09 20:00:00,290,Saturday,307.89001,85,12,2020,5,9,40
2020-05-09 20:30:00,290,Saturday,1581.1899,218,15,2020,5,9,41
2020-05-09 21:00:00,290,Saturday,39.529999,7,3,2020,5,9,42
2020-05-10 07:30:00,290,Sunday,1.95,1,1,2020,5,10,15
2020-05-10 08:30:00,290,Sunday,136.17999,30,4,2020,5,10,17
2020-05-10 09:00:00,290,Sunday,1431.7,368,18,2020,5,10,18
2020-05-10 09:30:00,290,Sunday,2775.28,682,30,2020,5,10,19
2020-05-10 10:00:00,290,Sunday,1988.37,501,35,2020,5,10,20
2020-05-10 10:30:00,290,Sunday,2909.73,662,38,2020,5,10,21
2020-05-10 11:00:00,290,Sunday,2053.28,522,47,2020,5,10,22
2020-05-10 11:30:00,290,Sunday,3589.1899,733,49,2020,5,10,23
2020-05-10 12:00:00,290,Sunday,2986.29,732,47,2020,5,10,24
2020-05-10 12:30:00,290,Sunday,2563.1299,774,46,2020,5,10,25
2020-05-10 13:00:00,290,Sunday,1951.05,501,43,2020,5,10,26
2020-05-10 13:30:00,290,Sunday,2185.3201,513,43,2020,5,10,27
2020-05-10 14:00:00,290,Sunday,1537.97,329,43,2020,5,10,28
2020-05-10 14:30:00,290,Sunday,1815.41,415,44,2020,5,10,29
2020-05-10 15:00:00,290,Sunday,1960.22,456,38,2020,5,10,30
2020-05-10 15:30:00,290,Sunday,1372.09,406,40,2020,5,10,31
2020-05-10 16:00:00,290,Sunday,581.08002,143,15,2020,5,10,32
2020-05-10 16:30:00,290,Sunday,1344.75,317,31,2020,5,10,33
2020-05-10 17:00:00,290,Sunday,836.0499900000003,207,28,2020,5,10,34
2020-05-10 17:30:00,290,Sunday,1968.6899,304,25,2020,5,10,35
2020-05-10 18:00:00,290,Sunday,945.9500099999999,251,20,2020,5,10,36
2020-05-10 18:30:00,290,Sunday,415.06,97,15,2020,5,10,37
2020-05-10 19:00:00,290,Sunday,673.16998,162,18,2020,5,10,38
2020-05-10 19:30:00,290,Sunday,376.19,85,12,2020,5,10,39
2020-05-10 20:00:00,290,Sunday,256.91,45,7,2020,5,10,40
2020-05-10 20:30:00,290,Sunday,637.85999,154,10,2020,5,10,41
2020-05-10 21:00:00,290,Sunday,-83.93,-14,-1,2020,5,10,42
2020-05-11 07:30:00,290,Monday,1.89,1,1,2020,5,11,15
2020-05-11 08:00:00,290,Monday,144.71001,48,6,2020,5,11,16
2020-05-11 08:30:00,290,Monday,346.72,87,13,2020,5,11,17
2020-05-11 09:00:00,290,Monday,504.32999,117,8,2020,5,11,18
2020-05-11 09:30:00,290,Monday,721.06,159,15,2020,5,11,19
2020-05-11 10:00:00,290,Monday,1070.74,248,17,2020,5,11,20
2020-05-11 10:30:00,290,Monday,1998.84,448,22,2020,5,11,21
2020-05-11 11:00:00,290,Monday,1436.35,385,20,2020,5,11,22
2020-05-11 11:30:00,290,Monday,1140.4301,305,21,2020,5,11,23
2020-05-11 12:00:00,290,Monday,1600.09,358,28,2020,5,11,24
2020-05-11 12:30:00,290,Monday,1109.61,287,21,2020,5,11,25
2020-05-11 13:00:00,290,Monday,408.12,64,19,2020,5,11,26
2020-05-11 13:30:00,290,Monday,1035.6801,243,24,2020,5,11,27
2020-05-11 14:00:00,290,Monday,814.15002,186,19,2020,5,11,28
2020-05-11 14:30:00,290,Monday,1513.1,341,30,2020,5,11,29
2020-05-11 15:00:00,290,Monday,1580.2,537,30,2020,5,11,30
2020-05-11 15:30:00,290,Monday,2016.73,502,26,2020,5,11,31
2020-05-11 16:00:00,290,Monday,1983.8199,617,31,2020,5,11,32
