,ts,visitors
29906,2015-01-12 18:00:00,8.0
95618,2015-01-12 18:00:00,5.0
127154,2015-01-12 18:00:00,1.0
127083,2015-01-12 18:00:00,1.0
29907,2015-01-12 18:15:00,7.0
127155,2015-01-12 18:15:00,11.0
127156,2015-01-12 18:30:00,12.0
127157,2015-01-12 18:45:00,12.0
127084,2015-01-12 19:00:00,1.0
29908,2015-01-12 19:00:00,3.0
127158,2015-01-12 19:00:00,8.0
95619,2015-01-12 19:00:00,1.0
29830,2015-01-12 19:00:00,7.0
95620,2015-01-12 19:15:00,4.0
127159,2015-01-12 19:15:00,15.0
